station,basin,X,Y
9020,LOIRE,700840.1999999856,6492570.000104719
9046,LOIRE,725940.8999995568,6529190.000104685
9058,LOIRE,758348.4999990112,6476190.000104725
9094,LOIRE,732290.0999994451,6565820.00010464
9134,LOIRE,723861.9999995889,6582330.000104619
9145,LOIRE,700351.999999994,6622120.000104554
9165,LOIRE,686804.2000002265,6687000.000102477
9182,LOIRE,672611.6000004727,6718162.0001024855
9193,LOIRE,649237.6000008794,6740291.000102481
9224,LOIRE,599269.5600017448,6739421.00010247
9234,LOIRE,618750.0000014027,6720020.000102475
9267,LOIRE,567443.1000022867,6716298.00010246
9274,LOIRE,537355.0000027997,6704089.0001024455
9299,LOIRE,666544.9000005744,6560420.000104649
9309,LOIRE,650549.5000008453,6531410.000104681
9313,LOIRE,640197.400001027,6562300.000104641
9359,LOIRE,686374.0600002353,6599050.500104593
9384,LOIRE,663964.9000006283,6663970.000104471
9402,LOIRE,645310.9000009442,6597052.000104593
9406,LOIRE,637929.2000010753,6620361.00010455
9431,LOIRE,647608.9000009024,6705380.00010248
9436,LOIRE,624027.6000013077,6701741.000102474
9453,LOIRE,599922.2000017161,6680740.000102461
9454,LOIRE,582811.8000020412,6657540.000104467
9481,LOIRE,499247.70000345015,6696001.00010242
9489,LOIRE,610462.0600015528,6627845.000104533
9559,LOIRE,590306.6000018663,6502158.000104696
9561,LOIRE,584284.3000019682,6499690.0001046965
9571,LOIRE,552395.6000025213,6528650.000104658
9591,LOIRE,529208.2500029263,6549282.000104625
9622,LOIRE,493481.0000035711,6611203.000104518
9637,LOIRE,524093.80000304827,6624822.000104508
9641,LOIRE,509001.2000033159,6637708.000104477
9701,LOIRE,562491.8000023557,6547370.00010464
9710,LOIRE,576193.9000021348,6590388.0001045875
9719,LOIRE,555297.3000024962,6593580.0001045745
9745,LOIRE,532297.4000029224,6662466.000104438
9764,LOIRE,438416.00000452605,6617650.000104471
9782,LOIRE,457074.6000042246,6651142.000104422
9788,LOIRE,421972.9000048346,6651746.000104398
9810,LOIRE,466950.20000399614,6684010.000102397
9816,LOIRE,449800.10000430583,6705956.000102391
9845,LOIRE,560905.5000024296,6791161.000102436
9863,LOIRE,547237.000002649,6747570.00010245
9935,LOIRE,462434.20000415464,6801812.000102375
9971,LOIRE,545211.700002715,6817005.500102408
9972,LOIRE,542454.5000027618,6813630.000102409
9974,LOIRE,542519.3000027577,6807086.000102415
10017,LOIRE,468708.9700040112,6750583.500102407
10022,LOIRE,468178.7000040363,6774630.000102395
10030,LOIRE,449442.4000043669,6781307.000102379
10056,LOIRE,436350.84000464226,6844801.000102314
10058,LOIRE,424507.0000048543,6849863.000102298
10075,LOIRE,431554.6000046945,6802740.000102351
10081,LOIRE,407491.2000051208,6810462.000102326
10102,LOIRE,423680.8000047967,6758530.000102369
10136,LOIRE,438533.20000455924,6669960.000104372
10146,LOIRE,426471.0000046982,6695400.000102371
10153,LOIRE,408885.10000500875,6706272.00010236
10189,LOIRE,405358.30000512477,6654260.000104383
10268,LOIRE,354976.400005925,6698049.000102306
10324,LOIRE,353607.40000601055,6640950.000104365
10338,LOIRE,338695.3000062485,6619600.00010439
10344,LOIRE,398470.2000052296,6635341.000104413
10380,LOIRE,420272.50000484206,6621300.000104453
10392,LOIRE,462403.0000040934,6587740.000104538
10426,LOIRE,432982.50000461156,6605512.00010449
10468,LOIRE,389374.8000054425,6816630.000102305
10502,LOIRE,366688.1000058393,6817150.000102283
10546,LOIRE,347524.60000619845,6841700.00010224
10565,LOIRE,304456.400006915,6807992.000102228
10647,LOIRE,305566.9000069143,6824718.000102214
10734,LOIRE,288846.10000721796,6834993.000102183
10844,LOIRE,249649.90000789997,6833110.000102137
10925,LOIRE,226292.1200083174,6840601.5001021
10950,LOIRE,227181.11000832694,6859342.000102079
11067,LOIRE,183548.50000908604,6856760.00010202
11224,LOIRE,167366.9000093483,6843140.000102013
11245,LOIRE,166598.20000934764,6834000.000102021
11290,LOIRE,205581.30000865704,6825360.000102085
11302,LOIRE,223981.7300083317,6821419.000102115
11329,LOIRE,185255.5000090053,6821961.000102058
11432,LOIRE,159711.80000938592,6781260.000102049
11456,LOIRE,186484.00000893621,6789241.000102086
11539,LOIRE,192499.60000882047,6781264.500102099
11602,LOIRE,217891.00000839162,6788000.000102132
11605,LOIRE,215902.60000842676,6788586.000102128
11735,LOIRE,243435.50000794604,6785237.000102169
11743,LOIRE,254009.50000774686,6772493.000102188
11745,LOIRE,257842.90000767377,6767178.000102195
11875,LOIRE,272105.4000074617,6794872.000102199
12007,LOIRE,299862.50000696245,6779632.0001022415
12060,LOIRE,285884.6000071953,6772185.000102226
12291,LOIRE,392919.60000536905,6803370.000102321
12316,LOIRE,372384.30000571214,6787771.0001023095
12325,LOIRE,353671.80000605935,6809800.000102278
12402,LOIRE,347960.4000061147,6765879.000102299
12436,LOIRE,322412.90000653075,6742226.000102277
13778,LOIRE,790275.3999984808,6431558.000104741
13844,LOIRE,781829.8999986094,6494232.000104708
14144,LOIRE,736960.3999993784,6427458.00010475
14184,LOIRE,696624.3000000574,6498125.000104713
14652,LOIRE,596438.8000017653,6513712.000104688
14707,LOIRE,520653.00000308745,6580736.000104579
14740,LOIRE,637960.5000010598,6527208.000104682
14771,LOIRE,592753.6000018566,6616432.000104548
14778,LOIRE,580814.6000020436,6552922.000104641
14796,LOIRE,574221.9000021638,6574943.000104606
14893,LOIRE,472915.6000039886,6828060.000102358
15604,ADOUR GARONNE,451708.00000426295,6565540.000104561
15613,ADOUR GARONNE,417359.0000048298,6535920.000104573
15652,ADOUR GARONNE,429785.00000458484,6489390.000104626
15792,ADOUR GARONNE,537375.0000027716,6514280.000104667
15813,ADOUR GARONNE,510414.0000032225,6497960.000104665
15818,ADOUR GARONNE,489754.0000035945,6536190.000104621
15844,ADOUR GARONNE,516666.0000031319,6530260.000104641
16019,ADOUR GARONNE,458979.0000040592,6440630.000104671
16045,ADOUR GARONNE,556954.0000024226,6473250.000104705
16107,ADOUR GARONNE,489203.0000035388,6419170.000104696
16113,ADOUR GARONNE,510624.0000031825,6425100.000104705
16122,ADOUR GARONNE,520563.00000301044,6414240.000104713
16186,ADOUR GARONNE,611184.0000015066,6482410.000104718
16188,ADOUR GARONNE,611662.0000014966,6474420.000104721
16201,ADOUR GARONNE,571373.000002179,6474400.0001047095
16202,ADOUR GARONNE,575661.0000021043,6468420.000104714
16228,ADOUR GARONNE,627005.0000012413,6498560.000104708
16242,ADOUR GARONNE,571478.0000021525,6402090.000104736
16263,ADOUR GARONNE,578592.0000020411,6425800.000104736
16300,ADOUR GARONNE,621859.0000013118,6415890.000104748
16362,ADOUR GARONNE,620450.0000013405,6439820.000104742
16388,ADOUR GARONNE,620613.0000013423,6461160.00010473
16399,ADOUR GARONNE,627928.0000012221,6479940.000104721
16412,ADOUR GARONNE,666210.0000005707,6454070.000104742
16504,ADOUR GARONNE,671443.0000004855,6495940.000104714
16505,ADOUR GARONNE,675913.0000004098,6500570.000104711
16594,ADOUR GARONNE,445587.0000042318,6363110.000104666
16621,ADOUR GARONNE,468287.0000038772,6399300.000104685
16680,ADOUR GARONNE,491337.0000034731,6365580.000104692
